"" "Ages1" "Length1"
1 21.2226337566972 100.043180847557
1 18.1659021079540 115.341625170499
1 11.4371820669621 102.443660452322
1 21.7216047756374 99.3278791424211
1 11.9637571573257 105.961683263033
1 5.69932249560952 56.5087464035339
1 7.916081443429 88.46687842117
1 24.1095430515707 88.1939443003836
1 5.72402244433761 78.5289714715383
1 2.46612423658371 54.4788319752025
1 15.7628072947264 97.4828124679804
1 1.30029581859708 36.7954499027898
1 12.3896342199296 91.5141448887165
1 11.5737700071186 109.309305163512
1 19.1422701217234 101.372679421071
1 19.1324090640992 91.5034343707336
1 2.12486507929862 52.2073164783477
1 10.3471169900149 99.441595236497
1 20.7705285735428 93.1248079612124
1 21.8909807819873 92.974603319931
1 15.9942280706018 104.928786535225
1 12.4801898654550 104.741738100867
1 7.01836955547333 79.1860953277882
1 3.80042798630893 65.5422596521294
1 19.7501522265375 93.138882327247
1 17.4389089066535 99.151263652084
1 24.9312642477453 92.2902833245538
1 2.93986616283655 68.309893876976
1 23.1378487870097 93.5034207645113
1 15.6154752969742 108.222600958866
1 22.7071541585028 117.534526964138
1 2.41144504770637 48.5318929596646
1 4.63915535435081 74.6235725522534
1 10.6843679826707 81.5407815741718
1 18.8924623560160 104.243125549981
1 21.9474816769361 116.695420256749
1 5.47140980884433 92.832353298926
1 15.0063502453268 113.190176839436
1 10.3254486471415 111.644008322630
1 18.5629186853766 86.1972103205394
1 17.4216468185186 99.1825623389533
1 18.5741708930582 102.9724145207
1 20.9216387253255 118.896379960606
1 21.2595627624542 110.157356721851
1 17.2411413826048 110.882982790530
1 12.1017174441367 95.35781944469
1 9.47075140103698 93.7062794124147
1 20.9080644790083 109.863186467322
1 18.2346741873771 97.7249854210175
1 14.6883543282747 102.103666104433
2 8.22151904553175 62.9849273353687
2 5.04669732786715 67.2901427171573
2 11.6394516453147 89.5980318707512
2 14.826556885615 69.9962820058966
2 7.51651152037084 63.4976354179002
2 2.35901539959013 37.7313615083960
2 22.9016863293946 88.151218596464
2 15.5674027912319 83.1882468941351
2 14.9741297066212 78.7887828171816
2 15.5063631236553 69.4089219619052
2 21.9875681735575 80.8421660839427
2 19.2555795218796 92.6574172368738
2 7.10615475848317 72.2681650701301
2 7.64397480338812 56.2427813029601
2 3.67838087119162 47.6653564055172
2 2.38831412419677 25.5013350587938
2 17.3652175944299 88.8907132145997
2 14.8527013324201 82.2247540660566
2 23.4946009479463 64.0974688570046
2 10.1243304964155 90.9688251977158
2 2.72892265580595 51.292879516413
2 7.96469621360302 67.2174571626663
2 1.13701488077641 15.8346560299259
2 4.27452679164708 52.4914889081623
2 5.07214974239469 71.6469228264994
2 3.41006011888385 59.3571929140426
2 3.17526217363775 41.3735767567415
2 18.9937345329672 86.8304293185487
2 20.0536348503083 87.9109420933919
2 17.6604728605598 84.0137833211024
2 3.91633463092148 59.3691015837358
2 24.4755116626620 83.3997739971695
2 4.60093824006617 47.1832334190712
2 6.20388346165419 69.8416349703516
2 14.6567924953997 78.8290299023097
2 3.66611783951521 60.7435600539065
2 24.582128001377 65.9058560925448
2 18.7130454499274 78.6389815045276
2 18.4725140538067 91.2223186732164
2 4.41473041661084 57.6007086147733
2 16.6620707008988 81.4630168125801
2 7.8892184831202 71.0913352331289
2 23.9975630380213 90.1582664129824
2 21.2781601045281 78.3612927275195
2 7.96888328716159 64.8347436697812
2 10.45903487131 92.6572440359464
2 4.05121877044439 44.0347531696923
2 10.3173927832395 72.2097957440202
2 1.22745384462178 23.8284244157384
2 13.2683710381389 82.648931620508
